Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Packets/s,Flow Bytes/s,Avg Packet Size,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Fwd Packets Length Total,Bwd Packets Length Total,Flow IAT Mean,Flow IAT Std,Idle Mean,Protocol
172838,0,0,6.083e-06,9534769.028439915,58,0,1,0,0,1,0,0,0,0,9.110099390933388e-06,4.025770767950819e-06,9.110099390933388e-06,TCP
182464,0,0,9.625999999999999e-06,6025348.015790567,58,0,1,0,0,1,0,0,0,0,9.107589721679686e-06,3.9238512245800625e-06,9.107589721679686e-06,TCP
190695,0,0,8.231e-06,7046531.405661524,58,0,1,0,0,1,0,0,0,0,9.048552740187871e-06,3.838377770124525e-06,9.048552740187871e-06,TCP
198455,0,0,7.76e-06,7474226.804123711,58,0,1,0,0,1,0,0,0,0,9.005719965154475e-06,3.7552607267368677e-06,9.005719965154475e-06,TCP
207480,0,0,9.024999999999999e-06,6426592.797783933,58,0,1,0,0,1,0,0,0,0,8.997709854789402e-06,3.6729096076202456e-06,8.997709854789402e-06,TCP
221506,0,0,1.4026000000000003e-05,4135177.5274490234,58,0,1,0,0,1,0,0,0,0,9.208917617797852e-06,3.735528229301536e-06,9.208917617797852e-06,TCP
229130,0,0,7.623999999999999e-06,7607555.089192025,58,0,1,0,0,1,0,0,0,0,9.164810180664062e-06,3.666428165133552e-06,9.164810180664062e-06,TCP
237741,0,0,8.611000000000001e-06,6735570.781558473,58,0,1,0,0,1,0,0,0,0,9.151605459359975e-06,3.595834792796231e-06,9.151605459359975e-06,TCP
245053,0,0,7.312999999999999e-06,7931081.63544373,58,0,1,0,0,1,0,0,0,0,9.07756664134838e-06,3.548755182784181e-06,9.07756664134838e-06,TCP
254029,0,0,8.976e-06,6461675.579322638,58,0,1,0,0,1,0,0,0,0,9.076935904366627e-06,3.4848099514533107e-06,9.076935904366627e-06,TCP
262447,0,0,8.417e-06,6890816.205298801,58,0,1,0,0,1,0,0,0,0,9.035242014917834e-06,3.4313000252535628e-06,9.035242014917834e-06,TCP
270629,0,0,8.182e-06,7088731.361525299,58,0,1,0,0,1,0,0,0,0,9.036064147949218e-06,3.3736299148504487e-06,9.036064147949218e-06,TCP
278639,0,0,8.01e-06,7240948.813982522,58,0,1,0,0,1,0,0,0,0,8.967614942981348e-06,3.339879692519831e-06,8.967614942981348e-06,TCP
296953,0,0,1.8314000000000005e-05,3166976.083870263,58,0,1,0,0,1,0,0,0,0,9.28342342376709e-06,3.728001323345075e-06,9.28342342376709e-06,TCP
303957,0,0,7.003999999999999e-06,8280982.295830954,58,0,1,0,0,1,0,0,0,0,9.211626919833096e-06,3.6934799515947515e-06,9.211626919833096e-06,TCP
309061,0,0,5.104e-06,11363636.363636363,58,0,1,0,0,1,0,0,0,0,9.087955250459559e-06,3.7074640136661112e-06,9.087955250459559e-06,TCP
313786,0,0,4.725e-06,12275132.275132276,58,0,1,0,0,1,0,0,0,0,8.971350533621651e-06,3.716833773200454e-06,8.971350533621651e-06,TCP
318737,0,0,4.951e-06,11714805.089880833,58,0,1,0,0,1,0,0,0,0,8.834732903374565e-06,3.752913609979801e-06,8.834732903374565e-06,TCP
