Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Packets/s,Flow Bytes/s,Avg Packet Size,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Fwd Packets Length Total,Bwd Packets Length Total,Flow IAT Mean,Flow IAT Std,Idle Mean,Protocol
30979000,0,0,0.000128,453125.0,58.0,0,0,0,0,0,0,0,0,0,0.0731154998143514,0.5575794318215718,0.0731154998143514,6
31041000,0,0,6.2e-05,935483.8709677419,58.0,0,0,0,0,0,0,0,0,0,0.07191790127363361,0.5530680255512539,0.07191790127363361,6
31102000,0,0,6.1e-05,950819.6721311476,58.0,0,0,0,0,0,0,0,0,0,0.07075891956206291,0.5486643433409291,0.07075891956206291,6
31954999,0,0,0.000853,67995.31066822978,58.0,0,0,0,0,0,0,0,0,0,0.06964930277022105,0.5443625671265817,0.06964930277022105,6
32034000,0,0,7.9e-05,734177.2151898735,58.0,0,0,0,0,0,0,0,0,0,0.06856226548552513,0.5401619041983445,0.06856226548552513,6
32091000,0,0,5.7e-05,1017543.8596491228,58.0,0,0,0,0,0,0,0,0,0,0.0675083380479079,0.5360570186388995,0.0675083380479079,6
32252000,0,0,0.000161,347826.0869565217,56.0,0,0,0,0,0,0,0,0,0,0.06648792642535585,0.5320440883583213,0.06648792642535585,6
32297000,0,0,4.5e-05,1244444.4444444443,56.0,0,0,0,0,0,0,0,0,0,0.06549624186843189,0.5281201377506759,0.06549624186843189,6
32333000,0,0,3.6e-05,1555555.5555555555,56.0,0,0,0,0,0,0,0,0,0,0.06453359127044678,0.5242817352861964,0.06453359127044678,6
32369000,0,0,3.6e-05,1555555.5555555555,56.0,0,0,0,0,0,0,0,0,0,0.06359884358834529,0.5205258020456207,0.06359884358834529,6
32404000,0,0,3.5e-05,1600000.0000000002,56.0,0,0,0,0,0,0,0,0,0,0.06269078595297677,0.5168494295487853,0.06269078595297677,6
32439999,0,0,3.6e-05,1555555.5555555555,56.0,0,0,0,0,0,0,0,0,0,0.06180832419596927,0.513249844841859,0.06180832419596927,6
32475999,0,0,3.6e-05,1555555.5555555555,56.0,0,0,0,0,0,0,0,0,0,0.060950375265545316,0.5097244142635213,0.060950375265545316,6
32512000,0,0,3.6e-05,1555555.5555555555,56.0,0,0,0,0,0,0,0,0,0,0.06011593178526996,0.506270626951305,0.06011593178526996,6
32547000,0,0,3.5e-05,1600000.0000000002,56.0,0,0,0,0,0,0,0,0,0,0.05930402794399777,0.5028860909634072,0.05930402794399777,6
32583000,0,0,3.6e-05,1555555.5555555555,56.0,0,0,0,0,0,0,0,0,0,0.058513787587483726,0.49956852020994613,0.058513787587483726,6
32618000,0,0,3.5e-05,1600000.0000000002,56.0,0,0,0,0,0,0,0,0,0,0.05774433048147904,0.4963157386527085,0.05774433048147904,6
32655000,0,0,3.7e-05,1513513.5135135136,56.0,0,0,0,0,0,0,0,0,0,0.05699488404509309,0.49312566083276715,0.05699488404509309,6
32689999,0,0,3.5e-05,1600000.0000000002,56.0,0,0,0,0,0,0,0,0,0,0.056264629730811484,0.48999630382481313,0.056264629730811484,6
32727000,0,0,3.7e-05,1513513.5135135136,56.0,0,0,0,0,0,0,0,0,0,0.05555288701117793,0.4869257604268663,0.05555288701117793,6
