Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Packets/s,Flow Bytes/s,Avg Packet Size,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Fwd Packets Length Total,Bwd Packets Length Total,Flow IAT Mean,Flow IAT Std,Idle Mean,Protocol
108009,0,0,6.198e-06,8712487.899322363,54,0,0,1,0,1,0,0,0,0,8.307970487154447e-06,3.816812820237545e-06,8.307970487154447e-06,TCP
114086,0,0,6.077e-06,8885963.46881685,54,0,0,1,0,1,0,0,0,0,8.140291486467635e-06,3.727330894553172e-06,8.140291486467635e-06,TCP
120269,0,0,6.183e-06,8733624.454148471,54,0,0,1,0,1,0,0,0,0,8.058547973632812e-06,3.613909782695087e-06,8.058547973632812e-06,TCP
133214,0,0,1.2945e-05,4171494.785631518,54,0,0,1,0,1,0,0,0,0,8.374452590942383e-06,3.706886608891704e-06,8.374452590942383e-06,TCP
138901,0,0,5.687e-06,9495340.24969228,54,0,0,1,0,1,0,0,0,0,8.176354800953583e-06,3.6824716528222267e-06,8.176354800953583e-06,TCP
8330102,0,0,0.008191201,6592.439863214197,54,0,0,1,0,1,0,0,0,0,0.000462836689419,0.001874615999374,0.000462836689419,TCP
8348675,0,0,1.8574000000000002e-05,2907289.7598794014,54,0,0,1,0,1,0,0,0,0,0.00043941798963,0.0018273204073730002,0.00043941798963,TCP
8356686,0,0,8.01e-06,6741573.0337078655,54,0,0,1,0,1,0,0,0,0,0.000417852401733,0.0017835305701580002,0.000417852401733,TCP
8364343,0,0,7.658e-06,7051449.46461217,54,0,0,1,0,1,0,0,0,0,0.000398329326084,0.0017427360685420001,0.000398329326084,TCP
8372492,0,0,8.147999999999999e-06,6627393.225331369,54,0,0,1,0,1,0,0,0,0,0.00038059191270300004,0.0017046068809870002,0.00038059191270300004,TCP
8379510,0,0,7.0179999999999996e-06,7694499.857509261,54,0,0,1,0,1,0,0,0,0,0.000364345052967,0.0016688791552360001,0.000364345052967,TCP
8387558,0,0,8.048999999999999e-06,6708907.938874394,54,0,0,1,0,1,0,0,0,0,0.00034950176874700003,0.0016352910539060002,0.00034950176874700003,TCP
8395308,0,0,7.749e-06,6968641.114982579,54,0,0,1,0,1,0,0,0,0,0.000335836410522,0.001603649452379,0.000335836410522,TCP
8409236,0,0,1.3928000000000001e-05,3877082.136703044,54,0,0,1,0,1,0,0,0,0,0.00032346065227800003,0.001573724669959,0.00032346065227800003,TCP
8415519,0,0,6.283e-06,8594620.404265478,54,0,0,1,0,1,0,0,0,0,0.00031170138606300004,0.001545470269527,0.00031170138606300004,TCP
8421630,0,0,6.111e-06,8836524.300441828,54,0,0,1,0,1,0,0,0,0,0.000300782067435,0.0015186819307070002,0.000300782067435,TCP
8427369,0,0,5.739e-06,9409304.756926294,54,0,0,1,0,1,0,0,0,0,0.000290624026594,0.0014932357996910001,0.000290624026594,TCP
