Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Packets/s,Flow Bytes/s,Avg Packet Size,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Fwd Packets Length Total,Bwd Packets Length Total,Flow IAT Mean,Flow IAT Std,Idle Mean,Protocol,is_anomaly
3407172,0,0,1.178e-06,49235993.20882853,58,0,1,0,0,1,0,0,0,0,9.134052266384255e-06,2.016732254696798e-05,9.134052266384255e-06,TCP,True
3408223,0,0,1.051e-06,55185537.58325405,58,0,1,0,0,1,0,0,0,0,9.112179598068808e-06,2.014477247226748e-05,9.112179598068808e-06,TCP,True
3409450,0,0,1.227e-06,47269763.65118174,58,0,1,0,0,1,0,0,0,0,9.09105936686198e-06,2.012204067690544e-05,9.09105936686198e-06,TCP,True
3410790,0,0,1.34e-06,43283582.08955224,58,0,1,0,0,1,0,0,0,0,9.071953753207593e-06,2.0098670421970153e-05,9.071953753207593e-06,TCP,True
3412170,0,0,1.38e-06,42028985.50724638,58,0,1,0,0,1,0,0,0,0,9.050419855497242e-06,2.0076339418051623e-05,9.050419855497242e-06,TCP,True
16086805,0,0,0.00251365,23074.01587333161,58,0,1,0,0,1,0,0,0,0,1.7059443484940432e-05,8.428955326406396e-05,1.7059443484940432e-05,TCP,True
19636083,0,0,1.052e-06,55133079.84790874,58,0,1,0,0,1,0,0,0,0,1.5221824941709062e-05,7.230789400977411e-05,1.5221824941709062e-05,TCP,True
19637674,0,0,1.591e-06,36455059.71087366,58,0,1,0,0,1,0,0,0,0,1.5211511637054611e-05,7.228083312868139e-05,1.5211511637054611e-05,TCP,True
19638580,0,0,9.06e-07,64017660.044150114,58,0,1,0,0,1,0,0,0,0,1.5199738021236453e-05,7.225409364473273e-05,1.5199738021236453e-05,TCP,True
19639558,0,0,9.78e-07,59304703.476482615,58,0,1,0,0,1,0,0,0,0,1.5188720183877733e-05,7.222723349979713e-05,1.5188720183877733e-05,TCP,True
19640682,0,0,1.1240000000000002e-06,51601423.48754448,58,0,1,0,0,1,0,0,0,0,1.5177719375633932e-05,7.220040322292264e-05,1.5177719375633932e-05,TCP,True
19641879,0,0,1.197e-06,48454469.50710109,58,0,1,0,0,1,0,0,0,0,1.5167656092109822e-05,7.217342907523003e-05,1.5167656092109822e-05,TCP,True
19643072,0,0,1.193e-06,48616932.103939645,58,0,1,0,0,1,0,0,0,0,1.5156688513579192e-05,7.214665857852e-05,1.5156688513579192e-05,TCP,True
19644086,0,0,1.014e-06,57199211.045364894,58,0,1,0,0,1,0,0,0,0,1.514573784727451e-05,7.211991778434287e-05,1.514573784727451e-05,TCP,True
19644949,0,0,8.63e-07,67207415.99073,58,0,1,0,0,1,0,0,0,0,1.5134804054107432e-05,7.209320663794402e-05,1.5134804054107432e-05,TCP,True
19645893,0,0,9.44e-07,61440677.9661017,58,0,1,0,0,1,0,0,0,0,1.5124070635201652e-05,7.20664892991636e-05,1.5124070635201652e-05,TCP,True
30519553,0,0,0.001138248,50955.50354580022,58,0,1,0,0,1,0,0,0,0,1.691741055236951e-05,6.911293706396769e-05,1.691741055236951e-05,TCP,True
50125819,0,0,0.0015425,37601.29659643436,58,0,1,0,0,1,0,0,0,0,1.838139924628856e-05,6.478182439462201e-05,1.838139924628856e-05,TCP,True
57733714,0,0,0.002715511,21358.779250019612,58,0,1,0,0,1,0,0,0,0,1.9373509707866902e-05,7.953066397627928e-05,1.9373509707866902e-05,TCP,True
63868351,0,0,0.005848219,9917.549257303805,58,0,1,0,0,1,0,0,0,0,2.110642624153495e-05,0.000132118451683,2.110642624153495e-05,TCP,True
69331535,0,0,0.003367867,17221.582681263837,58,0,1,0,0,1,0,0,0,0,2.23648932672316e-05,0.000144561259771,2.23648932672316e-05,TCP,True
80692994,0,0,0.010676153,5432.66849023239,58,0,1,0,0,1,0,0,0,0,2.560057313309103e-05,0.000237816592892,2.560057313309103e-05,TCP,True
82431094,0,0,0.00160377,36164.786721287965,58,0,1,0,0,1,0,0,0,0,2.6028126920477843e-05,0.000238907218083,2.6028126920477843e-05,TCP,True
97191438,0,0,0.014409793,4025.0404707409743,58,0,1,0,0,1,0,0,0,0,3.041974815404471e-05,0.000348294172428,3.041974815404471e-05,TCP,True
99471050,0,0,0.002210789,26234.977648251373,58,0,1,0,0,1,0,0,0,0,3.105560169345023e-05,0.000349987257148,3.105560169345023e-05,TCP,True
105478683,0,0,0.00490113,11834.005627273713,58,0,1,0,0,1,0,0,0,0,3.228590398671103e-05,0.000356874585567,3.228590398671103e-05,TCP,True
123277444,0,0,0.016936931,3424.4692854921595,58,0,1,0,0,1,0,0,0,0,3.7187616569783715e-05,0.00046011372507,3.7187616569783715e-05,TCP,True
130616073,0,0,0.007085094,8186.200493599661,58,0,1,0,0,1,0,0,0,0,3.908316865072929e-05,0.000474193001768,3.908316865072929e-05,TCP,True
147424816,0,0,0.001749209,33157.84448856597,58,0,1,0,0,1,0,0,0,0,3.561849149421494e-05,0.000427134086844,3.561849149421494e-05,TCP,True
186551176,0,0,0.016086069,3605.6043275706447,58,0,1,0,0,1,0,0,0,0,3.553354172479538e-05,0.000439521316916,3.553354172479538e-05,TCP,True
249787656,0,0,0.00320074,18120.809562788603,58,0,1,0,0,1,0,0,0,0,3.0321442811747844e-05,0.000353363460164,3.0321442811747844e-05,TCP,True
